tags: darakwon 1-과

[sound:과.mp3]	과<p class="small">일 과 / 이 과 / 삼 과 / &hellip;</p>	(numéro de) leçon<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>일 과 (première leçon)</li><li>이 과 (deuxième leçon)</li><li>십 과 (dixième leçon)</li></ul>
[sound:연습.mp3]	연습 <span class="small light">/ 숙제</span>	exercice <span class="small light">/ devoirs</span>
[sound:자모.mp3]	자모<p class="small light">/ 자음 / 모음</p>	lettre, caractère<p class="small light">/ consonne / voyelle</p><ul><li>Le hangeul (<span class="em">한글</span>) comprend 40 lettres, appelées jamos (字母, litt. “caractères mères”) divisées en&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>14 consonnes de base (<span class="em">자음</span>)<br>ㄱ ㄴ ㄷ ㄹ ㅁ ㅂ ㅅ ㅇ ㅈ ㅊ ㅋ ㅌ ㅍ ㅎ</li><li>5 consonnes doubles (<span class="em">쌍자음</span>)<br>ㄲ ㄸ ㅃ ㅆ ㅉ</li><li>10 voyelles de base (<span class="em">모음</span>)<br>ㅏ ㅑ ㅓ ㅕ ㅗ ㅛ ㅜ ㅠ ㅡ ㅣ</li><li>11 voyelles composées (<span class="em">복합모음</span>)<br>ㅐ ㅒ ㅔ ㅖ ㅘ ㅙ ㅚ ㅝ ㅞ ㅟ ㅢ</li></ul></li><br><li>L'orthographe moderne organise le regroupement des lettres d'abord en <span class="em">blocs morphémiques</span>, puis en blocs syllabiques à l'intérieur des morphèmes (un morphème est la plus petite unité significative dans une langue).</li><br><li>Au minimum, un bloc comprendra toujours une <span class="em">consonne initiale (초성)</span> suivie d'une <span class="em">voyelle médiane (중성)</span>. Il peut éventuellement comprendre une ou deux <span class="em">consonnes finales (종성)</span>. Afin que l'initiale soit toujours une consonne, ㅇ (이응) peut être utilisée comme consonne initiale muette.</li><br><li>Le placement des lettres dans un bloc suit des modèles basés sur la forme de la voyelle médiane. S'il s'agit d'une voyelle verticale comme ㅏ, la consonne initiale s'écrit à gauche et la voyelle à droite comme dans 가 ou 나. Lorsqu'il s'agit d'une voyelle horizontale comme ㅗ, la consonne est écrite au-dessus de la voyelle comme dans 고 ou 노.</li></ul><img src="한글.초성-중성-종성.jpg">
[sound:자음.mp3]	자음 <span class="small light">/ 모음 / 자모</span>	consonne <span class="small light">/ voyelle / lettre</span><ul><li>Le hangeul (<span class="em">한글</span>) comprend&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>14 consonnes de base (<span class="em">자음</span>)<br>ㄱ ㄴ ㄷ ㄹ ㅁ ㅂ ㅅ ㅇ ㅈ ㅊ ㅋ ㅌ ㅍ ㅎ</li><li>5 consonnes doubles (<span class="em">쌍자음</span>)<br>ㄲ ㄸ ㅃ ㅆ ㅉ</li></ul><br><li>Les groupes de consonnes (ㄳ ㄵ ㄶ ㄺ ㄻ ㄼ ㄽ ㄾ ㄿ ㅀ ㅄ) sont toujours placés en position finale <span class="em">(종성)</span> d'un bloc. Si le bloc est suivi par une consonne, seule la première consonne est prononcée (exceptions&nbsp;: ㄺ ㄻ ㄿ). Si le bloc est suivi d'une voyelle, les deux consonnes du groupe sont prononcées, la deuxième réalisant une liaison avec la voyelle qui suit.<ul style="font-size: 100%; list-style-type: circle"><li>없다 [업따] (ㅄ + consonne &rarr; ㅅ non prononcé)</li><li>없어 [업서] (ㅄ + voyelle &rarr; ㅅ prononcé)</li><li>읽다 [익따] (ㄺ + consonne &rarr; ㄹ non prononcé)</li><li>읽어 [일거] (ㄺ + voyelle &rarr; ㄹ prononcé)</li></ul></ul>
[sound:모음.mp3]	모음 <span class="small light">/ 자음 / 자모</span>	voyelle <span class="small light">/ consonne / lettre</span><ul><li>Le hangeul (<span class="em">한글</span>) comprend&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>10 voyelles de base (<span class="em">모음</span>)<br>ㅏ ㅑ ㅓ ㅕ ㅗ ㅛ ㅜ ㅠ ㅡ ㅣ</li><li>11 voyelles composées (<span class="em">복합모음</span>)<br>ㅐ ㅒ ㅔ ㅖ ㅘ ㅙ ㅚ ㅝ ㅞ ㅟ ㅢ</li></ul><br><li><span style="font-weight: bold">Voyelles simples</span><ul style="font-size: 100%; list-style-type: circle"><li>verticales<br>ㅏ <span class="light">[a]</span><br>ㅓ <span class="light">[eo]</span><br>ㅣ <span class="light">[i] (*)</span></li><li>horizontales<br>ㅗ <span class="light">[o]</span><br>ㅜ <span class="light">[u]</span><br>ㅡ <span class="light">[eu] (*)</span></li></ul></li><br><li><span style="font-weight: bold">Diphtongues</span><ul style="font-size: 100%; list-style-type: circle"><li>en [i-] (<span class="em">iotisation</span>)<br>ㅏ &rarr; ㅑ <span class="light">[ya]</span><br>ㅓ &rarr; ㅕ <span class="light">[yeo]</span><br>ㅗ &rarr; ㅛ <span class="light">[yo]</span><br>ㅜ &rarr; ㅠ <span class="light">[yu]</span><br>ㅔ &rarr; ㅖ <span class="light">[ye]</span><br>ㅐ &rarr; ㅒ <span class="light">[yae]</span></li><li>en [-i]<br>ㅏ + ㅣ &rarr; ㅐ <span class="light">[ae]</span><br>ㅓ + ㅣ &rarr; ㅔ <span class="light">[e]</span><br>ㅡ + ㅣ &rarr; ㅢ <span class="light">[eui]</span></li><li>en [w-]<br>ㅗ + ㅏ &rarr; ㅘ <span class="light">[wa]</span><br>ㅗ + ㅐ &rarr; ㅙ <span class="light">[wae]</span><br>ㅗ + ㅣ &rarr; ㅚ <span class="light">[oe] (**)</span><br>ㅜ + ㅓ &rarr; ㅝ <span class="light">[weo]</span><br>ㅜ + ㅔ &rarr; ㅞ <span class="light">[we]</span><br>ㅜ + ㅣ &rarr; ㅟ <span class="light">[wi] (**)</span></li></ul></li><br>(*) Les voyelles simples ㅡ et ㅣ ne peuvent être iotisées, c-à-d produire une diphtongue en [i-].<br>(**) Attention&nbsp;: <span class="em">ㅚ <span class="light">[oe]</span></span> ne se prononce pas comme <span class="em">ㅟ <span class="light">[wi]</span></span></ul>

[sound:기역.mp3]	기역	ㄱ [k]<ul><li>consonne <span style="background-color: rgba(215,25,28,0.3)">vélaire</span> (아음, “son des molaires”)</li><li><span style="background-color: rgba(215,25,28,0.3); font-weight: bold">ㄱ</span> ㄴ ㄷ ㄹ ㅁ ㅂ ㅅ ㅇ ㅈ ㅊ <span style="background-color: rgba(215,25,28,0.3)">ㅋ</span> ㅌ ㅍ ㅎ</li></ul>
[sound:니은.mp3]	니은	ㄴ [n]<ul><li>consonne <span style="background-color: rgba(253,174,97,0.3)">alvéolaire</span> (설음, “son de la langue”)</li><li>ㄱ <span style="background-color: rgba(253,174,97,0.3)"><span style="font-weight: bold">ㄴ</span> ㄷ ㄹ</span> ㅁ ㅂ ㅅ ㅇ ㅈ ㅊ ㅋ <span style="background-color: rgba(253,174,97,0.3)">ㅌ</span> ㅍ ㅎ</li></ul>
[sound:디귿.mp3]	디귿	ㄷ [t]<ul><li>consonne <span style="background-color: rgba(253,174,97,0.3)">alvéolaire</span> (설음, “son de la langue”)</li><li>ㄱ <span style="background-color: rgba(253,174,97,0.3)">ㄴ <span style="font-weight: bold">ㄷ</span> ㄹ</span> ㅁ ㅂ ㅅ ㅇ ㅈ ㅊ ㅋ <span style="background-color: rgba(253,174,97,0.3)">ㅌ</span> ㅍ ㅎ</li></ul>
[sound:리을.mp3]	리을	ㄹ [r]/[l]<ul><li>consonne <span style="background-color: rgba(253,174,97,0.3)">alvéolaire</span> (설음, “son de la langue”)</li><li>ㄱ <span style="background-color: rgba(253,174,97,0.3)">ㄴ ㄷ <span style="font-weight: bold">ㄹ</span></span> ㅁ ㅂ ㅅ ㅇ ㅈ ㅊ ㅋ <span style="background-color: rgba(253,174,97,0.3)">ㅌ</span> ㅍ ㅎ</li></ul>
